incident_id,index_make
20260208-01,Toyota
20260725-02,Ferrari
20260620-01,
20251022-02,
20260118-01,
20260405-SA-01,
20260315-01,Holden
20260524-01,Mazda
20260731-01,
20251208-VIC-01,Alfa Romeo
20251201-01,
20260604-01,
20260523-QLD-01,Mitsubishi
20260214-01,
20251111-VIC-01,
20260806-NSW-01,Tesla
20251215-VIC-01,Toyota
20260429-QLD-01,
20260405-02,Ford
20260802-01,Toyota
20260824-NT-01,Tesla
20260807-NT-01,Kia
20260605-01,Holden
20260311-02,
20260616-WA-01,Toyota
20251212-03,Mazda
20260804-NSW-01,
20260814-01,Tesla
